watch_time,pause_count,rewind_count,engagement_score,drop_off
72,2,1,81,0
58,4,2,69,1
83,1,0,88,0
49,6,3,55,1
67,3,2,74,0
91,1,1,92,0
54,5,2,60,1
76,2,1,84,0
62,3,2,71,0
45,7,4,50,1
88,1,0,90,0
59,4,1,66,1
73,2,2,79,0
52,5,3,58,1
80,1,1,87,0
64,3,2,72,0
47,6,3,53,1
69,2,1,76,0
85,1,0,91,0
60,4,2,68,1
78,2,1,83,0
55,5,2,61,1
90,1,0,93,0
48,6,4,54,1
66,3,2,73,0
82,1,1,89,0
57,4,2,65,1
74,2,1,80,0
51,5,3,59,1
87,1,0,92,0
63,3,2,70,0
46,7,4,52,1
71,2,1,78,0
56,4,2,64,1
84,1,0,90,0
50,6,3,56,1
68,3,2,75,0
81,1,1,88,0
58,5,2,67,1
75,2,1,82,0
53,6,3,60,1
86,1,0,91,0
61,3,2,69,0
47,7,4,51,1
70,2,1,77,0
54,5,3,62,1
83,1,0,89,0
59,4,2,66,1
76,2,1,84,0
52,6,3,57,1
